q,n,degree_exact,v_over_cutoff,log10_degree,log10_mu_over_v
3,16,64570081,0.5,7.8100313312073103191746649137465205279135594435201027759768460426,-19437523.092391584323166511750356354419380892749399887870383825475
3,16,64570081,0.9,7.8100313312073103191746649137465205279135594435201027759768460426,-2954557.2713432082347559733918488511076862622744438977373192688783
3,16,64570081,0.99,7.8100313312073103191746649137465205279135594435201027759768460426,-281828.32065448985373734198288904762176940700655197456942627131552
3,32,2779530283277761,0.1,15.443971410084879157398463578690403730675191525569094571807078459,-2779530283277743.8570585855791019596915569820301878766336174220017
3,32,2779530283277761,0.5,15.443971410084879157398463578690403730675191525569094571807078459,-836721989122993.07206333924744500990294127588542809329450774543991
3,32,2779530283277761,0.9,15.443971410084879157398463578690403730675191525569094571807078459,-127184330700177.57188099081640552582763917351281077256096496263617
3,32,2779530283277761,0.99,15.443971410084879157398463578690403730675191525569094571807078459,-12132108796709.233750037528936076001499791999994620395213047221653
3,64,5150525730438768726986773633921,0.1,30.711851561114077228963074816857959911031245226710418751235460619,-5150525730438768726986773633888.589178434549903966250664077866491
3,64,5150525730438768726986773633921,0.5,30.711851561114077228963074816857959911031245226710418751235460619,-1550462738301206128166834042601.7088238045466193755718601242334985
3,64,5150525730438768726986773633921,0.9,30.711851561114077228963074816857959911031245226710418751235460619,-235675132493066315478311102118.32804589757632729376146053309818887
3,64,5150525730438768726986773633921,0.99,30.711851561114077228963074816857959911031245226710418751235460619,-22481042533677306190668927683.361499392872515378759978734793115097
3,127,5895092288869291585760436430706259332839105796137920554548480,0.1,60.770490608452810778549832721930266550848304734946962156912374461,-5895092288869291585760436430706259332839105796137920554548417.5305
3,127,5895092288869291585760436430706259332839105796137920554548480,0.5,60.770490608452810778549832721930266550848304734946962156912374461,-1774599606157091825573734185971786807959807377109353288857721.8217
3,127,5895092288869291585760436430706259332839105796137920554548480,0.9,60.770490608452810778549832721930266550848304734946962156912374461,-269744629762245329407502334789638596599752419305590254858482.37672
3,127,5895092288869291585760436430706259332839105796137920554548480,0.99,60.770490608452810778549832721930266550848304734946962156912374461,-25730930670398518992436822637565088119767653569417503734614.668408
3,128,17685276866607874757281309292118777998517317388413761663645441,0.1,61.247611863172473215844860625185381860048433599137658021742240126,-17685276866607874757281309292118777998517317388413761663645378.053
3,128,17685276866607874757281309292118777998517317388413761663645441,0.5,61.247611863172473215844860625185381860048433599137658021742240126,-5323798818471275476721202557915360423879422131328059866573287.4321
3,128,17685276866607874757281309292118777998517317388413761663645441,0.9,61.247611863172473215844860625185381860048433599137658021742240126,-809233889286735988222507004368915789799257257916770764575567.82076
3,128,17685276866607874757281309292118777998517317388413761663645441,0.99,61.247611863172473215844860625185381860048433599137658021742240126,-77192792011195556977310467912695264359302960708252511203964.488847
3,160,32771175079258818936345984754485352713850575157369127821219235922994398532801,0.1,76.515492014201671209285753529349071754452557253239925696297940628,-3.2771175079258818936345984754485352713850575157369127821219235923e+76
3,160,32771175079258818936345984754485352713850575157369127821219235922994398532801,0.5,76.515492014201671209285753529349071754452557253239925696297940628,-9.8651066920128508657991021608200679688819850259627530114056281678e+75
3,160,32771175079258818936345984754485352713850575157369127821219235922994398532801,0.9,76.515492014201671209285753529349071754452557253239925696297940628,-1.4995267343514173122863381860104537472786097616236881523679154955e+75
3,160,32771175079258818936345984754485352713850575157369127821219235922994398532801,0.99,76.515492014201671209285753529349071754452557253239925696297940628,-1.4303980203058647423446938943705967264700351848765567481543386633e+74
5,2,31,0.1,1.4913616938342726796667041001184157223037015583041846559383497201,-27.743724503547894623769895316379162900890393531321631307019288574
5,2,31,0.5,1.4913616938342726796667041001184157223037015583041846559383497201,-7.4735943778033492849683232633894606771679000937227790050216849462
5,2,31,0.9,1.4913616938342726796667041001184157223037015583041846559383497201,-0.070691729807473260658276927582474967282919408261271146887081435811
