eta,s,p_over_M,local_cross,local_tau,ratio_to_abstract_static
0.5,0.00000000015848931924611134852021013733915070132694421338250390683162968123,0.000012589254117941672104239541063958006060936174094669310691079230195,5.3769919440940939500737617561731709391391592289993021254406839119e-71,4.8392927496846845550663855805558538452252433060993719128966155207e-70,0.00000000063395727493882788490259873681735101500713930201546965983599807106
0.5,0.0000000001995262314968879601352455396739535557986274315405346099229913667,0.000014125375446227543021556078639302409297897161501012685109119685596,6.7692317917769793235263266304958683048614304639751491729378915185e-71,6.0923086125992813911736939674462814743752874175776342556441023666e-70,0.00000000079810492274546657729418551738855739535527126614626574105461942256
0.5,0.00000000025118864315095801110850320677993273941585181007824754286798884209,0.000015848931924611134852021013733915070132694421338250390683162968123,8.5219579120294838889244669490322329290302246710567382414631057013e-71,7.6697621208265355000320202541290096361272022039510644173167951311e-70,0.0000000010047545674654731841870136319907717263083838655343752307880735999
0.5,0.00000000031622776601683793319988935444327185337195551393252168268575048528,0.000017782794100389228012254211951926848447357905264022553580118307228,1.072850935948806050465960159703313489236232370890586047391183511e-70,9.6556584235392544541936414373298214031260913380152744265206515986e-70,0.00000000126491105592360176046102531417243518725119590782727907384240893
0.5,0.00000000039810717055349725077025230508775204348767703729738044686528414806,0.00001995262314968879601352455396739535557986274315405346099229913667,1.3506393040815744101889553719162714064717871377215912568637128713e-70,1.2155753736734169691700598347246442658246084239494321311773415841e-69,0.0000000015924286693070151221677007111311518003648954873652798752725473419
0.5,0.00000000050118723362727228500155418688494576806047198983281926392969745589,0.00002238721138568339611954950852465742333707261397683803528065353234,1.7003541385078426565582547808651589259732135332467666469401263684e-70,1.5303187246570583909024293027786430333758921799220899822461137316e-69,0.0000000020047489140529141235223607382581969343797584931077803354254205011
0.5,0.00000000063095734448019324943436013662234386467294525718822872452772952883,0.000025118864315095801110850320677993273941585181007824754286798884209,2.1406190283613046751128526706016080879476176499863147770781784764e-70,1.9265571255251742076015674035414472791528558849876832993703606288e-69,0.0000000025238293454999205155098572990538954711350917630381678297427640695
0.5,0.00000000079432823472428150206591828283638793258896063175548433209232392932,0.000028183829312644538191019236991551107186830435837709540029410540597,2.6948796828106675257039181924590905421614940432712179087992427838e-70,2.4253917145296007731335263732131814879453446389440961179193185054e-69,0.0000000031773128875135377055626554046510064005699608256608614572863744093
0.5,0.000000001,0.000031622776601683793319988935444327185337195551393252168268575048528,3.3926525002119356306536473776445730923393880935928660550075097887e-70,3.0533872501907420675882826398801157831054492842335794495067588099e-69,0.0000000039999999185625008747324151946401322444729294423486745096585135947
0.5,0.0000000012589254117941672104239541063958006060936174094669310691079230195,0.00003548133892335754584332187022644906204913468320653236306803393404,4.2710964233884828279382881793905812722822476664602019790189077204e-70,3.8439867810496345451444593614515231450540228998141817811170169483e-69,0.0000000050357015181069312259645072427789082213970092105676884039417518086
0.5,0.0000000015848931924611134852021013733915070132694421338250390683162968123,0.000039810717055349725077025230508775204348767703729738044686528414806,5.3769917879425328968888450561088109134931252235347988614692918826e-70,4.8392926091482796071999605504979298221438127011813189753223626943e-69,0.0000000063395725652827061571194276875010023173458310344435719976250539753
0.5,0.000000001995262314968879601352455396739535557986274315405346099229913667,0.000044668359215096311855625052431937661637730017860801456820167235233,6.7692315442934344181112808374171996481381322929042397135082671809e-70,6.0923083898640909763001527536754796833243190636138157421574404628e-69,0.0000000079810489356669983341519973550081085210975445196170550635618992424
0.5,0.0000000025118864315095801110850320677993273941585181007824754286798884209,0.000050118723362727228500155418688494576806047198983281926392969745589,8.5219575197945007164101956533035642220316355389378054216123450772e-70,7.6697617678150506447691760879732077998284719850440248794511105695e-69,0.000000010047545212202446896857091360279142829732891317416784504156127946
0.5,0.0000000031622776601683793319988935444327185337195551393252168268575048528,0.000056234132519034908039495103977648123146825104309869166408168942374,1.0728508737837510606543854460600418056167320632737037998240168214e-69,9.6556578640537595458894690145403762505505885694633341984161513928e-69,0.000000012649109826298544989462869344699762971564712143838923757475047218
0.5,0.0000000039810717055349725077025230508775204348767703729738044686528414806,0.000063095734448019324943436013662234386467294525718822872452772952883,1.3506392055566029010228696660547367148021759200846476438378419697e-69,1.2155752850009426109205826994492630433219583280761828794540577727e-68,0.000000015924285531442551612173723359359166207516252167655358254028031851
