case,I,b,dt,t,R,Rdot,M2,Q2,Hfield,Hclock,Htotal,power_field,cosine_q_1,cosine_velocity_1,cosine_q_3,cosine_velocity_3,cosine_q_5,cosine_velocity_5
time_I100_dt0p01,100.0,2.0,0.01,15.96,2.6539938755451327,0.10543528727621164,0.7258109446438491,0.7324859560552373,0.7662963616844936,0.5558299901508638,1.3221263518353572,-0.002207942988461255,-0.48284340569141615,0.25534296527396816,0.0044458009303200525,0.0018645500792035395,-4.168382247476829e-05,-4.0281557489740226e-05
time_I100_dt0p01,100.0,2.0,0.01,15.98,2.6561026229317464,0.10543942694047768,0.7256904657935661,0.7165271124630178,0.7662518848972363,0.5558736376768165,1.3221255225740527,-0.0021564809987173884,-0.47755376028213237,0.2735619823838223,0.004479716077635126,0.0015208579670055134,-4.242564172140616e-05,-3.37499099274003e-05
time_I100_dt0p01,100.0,2.0,0.01,16.0,2.6582114521216282,0.10544346640005763,0.7255701741738259,0.6996702418251853,0.7662084265563853,0.5559162303230041,1.3221246568793894,-0.002102476099370808,-0.47190215565879223,0.2915351758483859,0.0045065146690769185,0.0011530616890908115,-4.303086486730806e-05,-2.662788867624982e-05
time_I100_dt0p01,100.0,2.0,0.01,16.02,2.660320361063376,0.10544740100585138,0.7254500694405218,0.6819687096193566,0.7661660400276261,0.5559577189444415,1.3221237589720676,-0.0020461004578105958,-0.4658936555599056,0.3092479369968111,0.004525721781520758,0.0007619244264613737,-4.348793929126631e-05,-1.8942709485331863e-05
time_I100_dt0p01,100.0,2.0,0.01,16.04,2.662429347615906,0.10545122644186464,0.725330151255438,0.6634783716330127,0.7661247752217271,0.5559980579046706,1.3221228331263977,-0.001987532678438788,-0.4595336111383176,0.32668613726524,0.004536879638327365,0.0003483971958646188,-4.3785926274454194e-05,-1.0728579155175e-05
time_I100_dt0p01,100.0,2.0,0.01,16.06,2.664538409555234,0.10545493873669289,0.7252104192858223,0.6442573732230327,0.7660846784397938,0.5560372051979825,1.3221218836377764,-0.0019269571492346723,-0.4528276511971814,0.34383614377730076,0.004539551344466989,-8.638366420369053e-05,-4.391464193060287e-05,-2.0267876455253897e-06
time_I100_dt0p01,100.0,2.0,0.01,16.080000000000002,2.6666475445814712,0.10545853427375602,0.7250908732039514,0.6243659427395994,0.7660457922328523,0.5560751225584487,1.322120914791301,-0.001864563376466075,-0.44578167213870784,0.36068483248134603,0.004533324557213808,-0.000541100417081788,-4.3864799207483056e-05,7.114278716849435e-06
time_I100_dt0p01,100.0,2.0,0.01,16.1,2.6687567503260152,0.10546200980026471,0.7249715126866882,0.6038661801221531,0.7660081552762936,0.5561117755555565,1.32211993083185,-0.001800545310720359,-0.4384018276746967,0.37721959883478345,0.004517815064462308,-0.0010142592340146375,-4.362814931088379e-05,1.6639209814891787e-05
time_I100_dt0p01,100.0,2.0,0.01,16.12,2.6708660243589044,0.10546536243490617,0.7248523374150355,0.5828218416684025,0.765971802259609,0.556147133676306,1.3221189359359151,-0.0017351006673739136,-0.4306945183478724,0.393428366043694,0.004492670243368304,-0.0015041968448582547,-4.3197620773117914e-05,2.6485736076431477e-05
time_I100_dt0p01,100.0,2.0,0.01,16.14,2.6729753641963154,0.10546858967424234,0.7247333470736836,0.5612981219633673,0.7659367637917504,0.556181170393685,1.3221179341854352,-0.001668430244543137,-0.4226663809127028,0.4092995908832399,0.004457572372877673,-0.002009088485347455,-4.2567454279125494e-05,3.6584989447108326e-05
time_I100_dt0p01,100.0,2.0,0.01,16.16,2.6750847673081743,0.10547168939781966,0.7246145413505578,0.5393614339344706,0.7659030663223438,0.5562138632215071,1.322116929543851,-0.0016007372414640207,-0.4143242776237075,0.4248222671409532,0.004412241774765067,-0.002526957083285108,-4.173333127796548e-05,4.686186461528815e-05
time_I100_dt0p01,100.0,2.0,0.01,16.18,2.677194231125859,0.10547465987199435,0.7244959199363641,0.5170791879713694,0.7658707320788954,0.5562451937556449,1.3221159258345403,-0.001532226580133297,-0.4056752854782555,0.4399859267407606,0.004356439759047896,-0.0030556836171457347,-4.069249434887624e-05,5.723548268539764e-05
time_I100_dt0p01,100.0,2.0,0.01,16.2,2.6793037530499633,0.1054774997524827,0.724377482524135,0.4945195710161029,0.7658397790200219,0.5562751477017495,1.3221149267217713,-0.0014631042329137217,-0.39672668545954926,0.45478063862041274,0.004289971351054133,-0.003593018572487795,-3.9443857262592315e-05,6.761975794547172e-05
time_I100_dt0p01,100.0,2.0,0.01,16.22,2.6814133304580996,0.10548020808565091,0.7242592288087795,0.4717513264908495,0.7658102208046496,0.5563037148896108,1.3221139356942604,-0.0013935765586614718,-0.3874859518238928,0.4691970054487584,0.004212687778989553,-0.004136594414284836,-3.7988102681727375e-05,7.792406671707245e-05
time_I100_dt0p01,100.0,2.0,0.01,16.240000000000002,2.6835229607127165,0.10548278430856292,0.724141158486634,0.4488435358878158,0.7657820667770378,0.5563308892743404,1.3221129560513782,-0.001323849649777028,-0.3779607414744879,0.48322615828194776,0.004124488702554216,-0.004683938986849121,-3.632776548181168e-05,8.805401553803685e-05
time_I100_dt0p01,100.0,2.0,0.01,16.26,2.6856326411689033,0.1054852282478099,0.7240232712550191,0.425865402799171,0.7657553219673927,0.5563566689246275,1.3221119908920203,-0.0012541286924145569,-0.36815888346190173,0.4968597492691112,0.004025324164982428,-0.0052324897474567995,-3.446729974708614e-05,9.791230414013924e-05
time_I100_dt0p01,100.0,2.0,0.01,16.28,2.68774236918216,0.10548754011714824,0.7239055668118042,0.4028860401152178,0.765729987107766,0.556381055998348,1.3221110431061138,-0.0011846173419107673,-0.3580883686490322,0.5100899425282854,0.003915196252807414,-0.005779608735099218,-3.241312760413088e-05,0.0001073996768774845
time_I100_dt0p01,100.0,2.0,0.01,16.3,2.689852142116109,0.10548972051397718,0.7237880448549758,0.3799742610668164,0.7657060586628538,0.5564040567058508,1.3221101153687047,-0.0011155171153147574,-0.3477573395758884,0.5229094033223219,0.003794160449663387,-0.006322598171983036,-3.017366820120228e-05,0.00011641595446910746
time_I100_dt0p01,100.0,2.0,0.01,16.32,2.6919619573501223,0.1054917704146898,0.7236707050822184,0.3571983747341522,0.7656835288752524,0.5564256812612811,1.3221092101365335,-0.001047026802717628,-0.33717408055683246,0.5353112856721978,0.003662326672517021,-0.006858716592469503,-2.775934532162336e-05,0.0001248611361750947
time_I100_dt0p01,100.0,2.0,0.01,16.34,2.69407181228685,0.10549369116893494,0.723553547190502,0.3346259865889122,0.7656623858246612,0.556445943822331,1.3221083296469922,-0.0009793418988965252,-0.3263470080401084,0.5472892185515651,0.0035198599808491586,-0.007385195392061854,-2.518257233382856e-05,0.0001326365608626116
time_I100_dt0p01,100.0,2.0,0.01,16.36,2.696181704359616,0.10549548449282929,0.7234365708756821,0.31232380458145614,0.7656426135004822,0.5564648624188393,1.3221074759193217,-0.0009126540566043884,-0.31528466125655613,0.5588372908115153,0.003366980951470277,-0.007899255687791274,-2.245771342760582e-05,0.00013964611386940495
time_I100_dt0p01,100.0,2.0,0.01,16.38,2.698291631039676,0.10549715246116183,0.723319775832111,0.2903574512292388,0.7656241918872118,0.5564824588706812,1.322106650757893,-0.0008471505626556884,-0.3039956931813855,0.5699500349884539,0.0032039657138326254,-0.008398125380879421,-1.9601020362125374e-05,0.00014579746516886667
time_I100_dt0p01,100.0,2.0,0.01,16.4,2.700401589843302,0.1054986974986344,0.7232031617522626,0.2687912821081288,0.7656070970619905,0.5564987586954184,1.322105855757409,-0.0007830138377816323,-0.2924888618297962,0.5806224101506914,0.003031145642883624,-0.008879056312828362,-1.663054425428339e-05,0.000151003323112531
time_I100_dt0p01,100.0,2.0,0.01,16.42,2.7025115783386884,0.10550012237018408,0.7230867283263691,0.24768821109490327,0.7655913013036443,0.5565137910061907,1.322105092309835,-0.0007204209610571073,-0.2807730219041027,0.5908497839409197,0.0028489067086740105,-0.00933934140706082,-1.3566022260846898e-05,0.00015518268699966133
time_I100_dt0p01,100.0,2.0,0.01,16.44,2.7046215941526532,0.10550143017043392,0.7229704752420747,0.22710954265755912,0.7655767732125291,0.5565275884003473,1.3221043616128765,-0.0006595432195375202,-0.2688571168068662,0.6006279139722106,0.0026576884840770996,-0.009776331689852584,-1.0428739351837812e-05,0.00015826208092323206
time_I100_dt0p01,100.0,2.0,0.01,16.46,2.7067316349771184,0.10550262431231999,0.7228544021841029,0.20711481144059943,0.765563477840473,0.5565401868393267,1.3221036646797997,-0.000600545683587762,-0.25675017103139386,0.6099529287345964,0.0024579828140800196,-0.010187453086514333,-7.241365729458549e-06,0.00016017675078940457
