reference,t,cos1,cos3,cos5,field_energy,clock_energy,work
reference_frozen_N128,12.040000000000001,0.16120450299021444,-4.535841627987297e-05,-1.1209275955864371e-05,0.8221348556003512,,0.0
reference_frozen_N128,12.06,0.17486432194722198,-0.00024806987315638916,-1.1406555782838025e-05,0.822134855600337,,0.0
reference_frozen_N128,12.08,0.18838266664397274,-0.0004503222597245433,-1.1483354182966142e-05,0.8221348556001301,,0.0
reference_frozen_N128,12.1,0.20174832504033316,-0.0006514369457534682,-1.1436330275571873e-05,0.8221348556003215,,0.0
reference_frozen_N128,12.120000000000001,0.21495015152721808,-0.0008507573327060018,-1.1262789834072025e-05,0.8221348556010728,,0.0
reference_frozen_N128,12.14,0.22797707419177882,-0.0010476519651273306,-1.0960679165787398e-05,0.8221348556003502,,0.0
reference_frozen_N128,12.16,0.24081810251161384,-0.001241517391944306,-1.0528581366343738e-05,0.8221348556003211,,0.0
reference_frozen_N128,12.18,0.25346233547877794,-0.0014317807717142363,-9.965715798169476e-06,0.8221348556002285,,0.0
reference_frozen_N128,12.200000000000001,0.26589897016779074,-0.00161790219583678,-9.271940520996208e-06,0.8221348556002867,,0.0
reference_frozen_N128,12.22,0.2781173107414945,-0.0017993767283503458,-8.447758157346801e-06,0.8221348556007734,,0.0
reference_frozen_N128,12.24,0.2901067778940192,-0.001975736148416221,-7.49432488364304e-06,0.8221348556003529,,0.0
reference_frozen_N128,12.26,0.3018569187283969,-0.0021465503813203213,-6.41346201905229e-06,0.8221348556002884,,0.0
reference_frozen_N128,12.280000000000001,0.3133574170454443,-0.002311428631242689,-5.207670343668096e-06,0.8221348556004637,,0.0
reference_frozen_N128,12.3,0.32459810404118505,-0.002470020191637018,-3.880145761992137e-06,0.8221348556004617,,0.0
reference_frozen_N128,12.32,0.33556896938481845,-0.0026220149471167502,-2.4347960617116144e-06,0.8221348555999548,,0.0
reference_frozen_N128,12.34,0.34626017265283326,-0.0027671435682759082,-8.762579978884071e-07,0.8221348556001901,,0.0
reference_frozen_N128,12.36,0.35666205509928817,-0.002905177387826189,7.900873999891252e-07,0.8221348556003495,,0.0
reference_frozen_N128,12.38,0.3667651517177506,-0.0030359279886195034,2.558100772345326e-06,0.8221348556004255,,0.0
reference_frozen_N128,12.4,0.37656020356567255,-0.003159246497250183,4.420873648103534e-06,0.8221348556014412,,0.0
reference_frozen_N128,12.42,0.38603817031154175,-0.003275022593131902,6.370722486325406e-06,0.8221348556001677,,0.0
reference_frozen_N128,12.44,0.39519024295620464,-0.0033831832595570843,8.399186992618366e-06,0.8221348555978082,,0.0
reference_frozen_N128,12.46,0.4040078566844695,-0.003483691280718461,1.0497035272480372e-05,0.822134855600252,,0.0
reference_frozen_N128,12.48,0.4124827037996517,-0.003576543495736258,1.2654277788809968e-05,0.8221348556002728,,0.0
reference_frozen_N128,12.5,0.4206067466780118,-0.0036617688592910703,1.4860186619294418e-05,0.8221348556009344,,0.0
reference_frozen_N128,12.52,0.4283722306989493,-0.003739426293148237,1.7103326130355112e-05,0.822134855601514,,0.0
reference_frozen_N128,12.540000000000001,0.43577169708659547,-0.003809602374745341,1.9371592289845812e-05,0.822134855598396,,0.0
reference_frozen_N128,12.56,0.44279799560658734,-0.003872408881562557,2.1652261293457363e-05,0.8221348555985891,,0.0
