q,n,Lambda_eV,G00,tau,zeta,h2,M_eV,min_mass_eV,max_mass_eV,condition_H,mG_eV,phase,rH,hidden_self_mass_leading_eV,clockoff_my2_leading_eV2,max_x,max_static_force_ratio,max_once_rematched_force_ratio,alpha_delta,max_abs_static_dVchi_eV4,max_abs_static_dVy_eV4,FX_over_min_mass2,MQ_over_min_mass,max_mass_over_KK,gap_conditions_pass,static_response_and_gap_conditions_pass,once_rematched_response_and_gap_conditions_pass
2.0,200,2000000000000.0,0.25,9.334522916791682e-61,1.0,0.08333333333333334,1000000000000.0,1000244256288.1268,2999918570188.6333,8.995116663488766,1e-15,quadrature,3.1911241336606078,4.2175437164302165,6.197621285604598e-60,5.9292250000000004e-24,3.5375804125509614e-06,1.7687902062754798e-06,2.9646125000000017e-24,1.096042785184901e-40,5.068343668813261e-20,4.2154841479084e-12,0.09997558033584385,0.02999918570188633,True,True,True
3.0,127,2000000000000.0,0.1111111111111111,6.785305138568346e-61,1.0,0.013888888888888885,666666666666.6666,1333634480628.494,2666516071762.489,3.9977421602502115,1e-06,zero,2.319641954382703,4217543716.4302163,1.6631498886210988e-42,5.002733538939071e-06,8.954366029675537e+21,4.4772054128233194e+21,2.5013855399610305e-06,128290523.69728644,0.0,0.0023712970549839363,0.07498306428975472,0.026665160717624887,True,False,False
3.0,127,2000000000000.0,0.1111111111111111,6.785305138568346e-61,1.0,0.013888888888888885,666666666666.6666,1333634480628.494,2666516071762.489,3.9977421602502115,1e-06,quadrature,2.319641954382703,4217543716.4302163,1.6631498886210988e-42,5.002733538939071e-06,2.984788676558512e+21,1.49240180427444e+21,2.5013855399610305e-06,9.247722207633123e-23,42763507.89909548,0.0023712970549839363,0.07498306428975472,0.026665160717624887,True,False,False
3.0,127,2000000000000.0,0.1111111111111111,6.785305138568346e-61,1.0,0.013888888888888885,666666666666.6666,1333634480628.494,2666516071762.489,3.9977421602502115,1e-14,zero,2.319641954382703,42.17543716430217,1.6631499452476763e-58,5.00278359375e-22,0.008954500419269618,0.004477250209634807,2.5013917968750014e-22,1.2829244911683564e-16,0.0,2.3712970549839367e-11,0.07498306428975472,0.026665160717624887,True,True,True
3.0,127,2000000000000.0,0.1111111111111111,6.785305138568346e-61,1.0,0.013888888888888885,666666666666.6666,1333634480628.494,2666516071762.489,3.9977421602502115,1e-14,quadrature,2.319641954382703,42.17543716430217,1.6631499452476763e-58,5.00278359375e-22,0.002984833473089873,0.0014924167365449356,2.5013917968750014e-22,9.2478609999976e-39,4.2764149705611885e-17,2.3712970549839367e-11,0.07498306428975472,0.026665160717624887,True,True,True
3.0,127,2000000000000.0,0.1111111111111111,6.785305138568346e-61,1.0,0.013888888888888885,666666666666.6666,1333634480628.494,2666516071762.489,3.9977421602502115,1e-15,zero,2.319641954382703,4.2175437164302165,1.6631555512787192e-60,5.00278359375e-24,8.954500419269619e-06,4.477250209634817e-06,2.501391796874996e-24,1.2829244911683566e-19,0.0,2.371297054983937e-12,0.07498306428975472,0.026665160717624887,True,True,True
3.0,127,2000000000000.0,0.1111111111111111,6.785305138568346e-61,1.0,0.013888888888888885,666666666666.6666,1333634480628.494,2666516071762.489,3.9977421602502115,1e-15,quadrature,2.319641954382703,4.2175437164302165,1.6631555512787192e-60,5.00278359375e-24,2.9848334730898736e-06,1.4924167365449391e-06,2.501391796874996e-24,9.247860999997602e-41,4.276414970561189e-20,2.371297054983937e-12,0.07498306428975472,0.026665160717624887,True,True,True
5.0,87,2000000000000.0,0.04,7.42764023571227e-61,1.0,0.0016666666666666674,400000000000.0,1600318555459.76,2399787599153.5557,2.248706254829033,1e-06,zero,2.5392322910999567,4217543716.4302163,2.8057146835300524e-42,4.632164117261792e-06,8.291088874329486e+21,4.145563639873499e+21,2.316098151326781e-06,118787653.99843913,0.0,0.0016468221936997269,0.06248755890433997,0.023997875991535557,True,False,False
5.0,87,2000000000000.0,0.04,7.42764023571227e-61,1.0,0.0016666666666666674,400000000000.0,1600318555459.76,2399787599153.5557,2.248706254829033,1e-06,quadrature,2.5392322910999567,4217543716.4302163,2.8057146835300524e-42,4.632164117261792e-06,2.763696291443162e+21,1.3818545466244994e+21,2.316098151326781e-06,8.562715266998639e-23,39595884.66614638,0.0016468221936997269,0.06248755890433997,0.023997875991535557,True,False,False
5.0,87,2000000000000.0,0.04,7.42764023571227e-61,1.0,0.0016666666666666674,400000000000.0,1600318555459.76,2399787599153.5557,2.248706254829033,1e-14,zero,2.5392322910999567,42.17543716430217,2.805714740156632e-58,4.632207031250002e-22,0.008291204091916317,0.0041456020459581635,2.316103515624998e-22,1.1878930473781084e-16,0.0,1.646822193699727e-11,0.06248755890433997,0.023997875991535557,True,True,True
5.0,87,2000000000000.0,0.04,7.42764023571227e-61,1.0,0.0016666666666666674,400000000000.0,1600318555459.76,2399787599153.5557,2.248706254829033,1e-14,quadrature,2.5392322910999567,42.17543716430217,2.805714740156632e-58,4.632207031250002e-22,0.002763734697305439,0.0013818673486527212,2.316103515624998e-22,8.562834259257041e-39,3.959643491260361e-17,1.646822193699727e-11,0.06248755890433997,0.023997875991535557,True,True,True
5.0,87,2000000000000.0,0.04,7.42764023571227e-61,1.0,0.0016666666666666674,400000000000.0,1600318555459.76,2399787599153.5557,2.248706254829033,1e-15,zero,2.5392322910999567,4.2175437164302165,2.805720346187674e-60,4.632207031250002e-24,8.291204091916318e-06,4.1456020459581445e-06,2.316103515625009e-24,1.1878930473781083e-19,0.0,1.646822193699727e-12,0.06248755890433997,0.023997875991535557,True,True,True
5.0,87,2000000000000.0,0.04,7.42764023571227e-61,1.0,0.0016666666666666674,400000000000.0,1600318555459.76,2399787599153.5557,2.248706254829033,1e-15,quadrature,2.5392322910999567,4.2175437164302165,2.805720346187674e-60,4.632207031250002e-24,2.7637346973054395e-06,1.3818673486527149e-06,2.316103515625009e-24,8.562834259257042e-41,3.9596434912603617e-20,1.646822193699727e-12,0.06248755890433997,0.023997875991535557,True,True,True
