reference,t,cos1,cos3,cos5,energy
reference_continuum_K24_tight,11.22,-0.3794530222333005,0.00200848439170575,-2.437446740675248e-06,0.8222137023067021
reference_continuum_K24_tight,11.24,-0.36975175667797583,0.0021397265446884213,-5.52522286834302e-07,0.8222137023067045
reference_continuum_K24_tight,11.26,-0.3597396295900584,0.002267291485440766,1.2510644573861842e-06,0.8222137023067072
reference_continuum_K24_tight,11.28,-0.34942584866488346,0.002390269178463029,2.954214080818641e-06,0.822213702306697
reference_continuum_K24_tight,11.3,-0.33881983047737685,0.002507779972793631,4.539624032563638e-06,0.8222137023067043
reference_continuum_K24_tight,11.32,-0.3279311880192926,0.002618979733664129,5.991949632810602e-06,0.8222137023067075
reference_continuum_K24_tight,11.34,-0.3167697185036475,0.0027230646701802124,7.297932123850161e-06,0.8222137023066969
reference_continuum_K24_tight,11.36,-0.30534539147404427,0.0028192758318218844,8.446493351555963e-06,0.8222137023067039
reference_continuum_K24_tight,11.38,-0.2936683372524259,0.002906903249381139,9.42879718708004e-06,0.8222137023067068
reference_continuum_K24_tight,11.4,-0.2817488357543581,0.002985289699413797,1.0238278428358297e-05,0.8222137023067005
reference_continuum_K24_tight,11.42,-0.2695973056966595,0.0030538340740648676,1.0870640302236966e-05,0.822213702306704
reference_continuum_K24_tight,11.44,-0.2572242942178219,0.003111994341175934,1.1323822124010032e-05,0.8222137023067049
reference_continuum_K24_tight,11.46,-0.24464046692693495,0.003159290083320701,1.15979391872364e-05,0.8222137023067055
reference_continuum_K24_tight,11.48,-0.23185659839264489,0.0031953046070404287,1.1695197165128454e-05,0.822213702306704
reference_continuum_K24_tight,11.5,-0.2188835630792869,0.003219686616526725,1.1619783589820878e-05,0.8222137023067015
reference_continuum_K24_tight,11.52,-0.20573232673274267,0.0032321514498770704,1.1377739334205499e-05,0.8222137023067141
reference_continuum_K24_tight,11.540000000000001,-0.19241393821466468,0.003232481878252919,1.0976813030385644e-05,0.822213702306704
reference_continuum_K24_tight,11.56,-0.17893952177971612,0.003220528470957131,1.0426301478417092e-05,0.8222137023066984
reference_continuum_K24_tight,11.58,-0.16532026978608017,0.003196209533455062,9.736879276399349e-06,0.8222137023067182
reference_continuum_K24_tight,11.6,-0.15156743582635848,0.0031595106266309276,8.920420707625205e-06,0.8222137023067048
reference_continuum_K24_tight,11.620000000000001,-0.1376923282622114,0.003110483678503518,7.989816946284329e-06,0.8222137023067021
reference_continuum_K24_tight,11.64,-0.12370630414259143,0.0030492457026885566,6.958791539178599e-06,0.822213702306708
reference_continuum_K24_tight,11.66,-0.10962076348270469,0.0029759771389919216,5.841716889831551e-06,0.8222137023067089
reference_continuum_K24_tight,11.68,-0.09544714387776734,0.0028909198343328732,4.653434322068688e-06,0.8222137023067039
