mG_eV,a,phase,mu_factor,scheme,eta,scalar_CW_clockoff_eV4,max_abs_delta,max_abs_delta_kinetic,min_f,min_D,max_tree_force_ratio,max_charged_force_ratio,max_modulus_force_ratio,max_selected_force_ratio,max_selected_index,max_component_sum_ratio,max_component_sum_index,max_selected_x_ratio,max_selected_y_ratio,min_modulus_mass_eV,max_H_over_modulus_mass,max_mass_over_geometric_marker,geometric_marker_eV,max_d_over_s,max_B_over_s,min_scalar_over_fermion_mass2,max_Fcomp_abs_eV,max_above_threshold_AMSB_abs_eV,selected_budget_pass,component_sum_budget_pass
0.0005623413251903491,0.1,zero,1.0,tree_eta,2.2383619599143748e-60,-1.0942687833372485e-14,3.7397319445586527e-60,4.5346795516656797e-63,1.0,1.0,4.505987227938394e-30,3.7252734392199936e-35,2.610797601675169e-33,4.503413683071111e-30,1024,4.508635278274461e-30,1024,4.503413683071111e-30,0.0,0.0012320281152964094,7.832266189790668e-30,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,2.5174468615878334e-63,2.9237872870710713e-66,True,True
0.001,0.1,zero,1.0,tree_eta,7.078322021207937e-61,-1.0942687833372487e-13,1.182607078329588e-60,1.4339915842254742e-63,1.0,1.0,2.533902829049664e-30,3.7252734392199936e-35,1.4681593831297995e-32,2.519258487952758e-30,1024,2.548621675615354e-30,1024,2.519258487952758e-30,0.0,0.0021908902300206644,4.404406948410451e-30,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,1.4156644042415875e-63,1.6441664175862418e-66,True,True
0.0017782794100389228,0.1,zero,1.0,tree_eta,2.238361959914375e-61,-1.0942687833372481e-12,3.739731944558653e-61,4.5346795516656805e-64,1.0,1.0,1.4249182747913628e-30,3.7252734392199947e-35,8.256066930998567e-32,1.3423948582157694e-30,1024,1.5075161968357406e-30,1024,1.3423948582157694e-30,0.0,0.003896014985701187,2.4767800400467147e-30,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512783e-88,5.237068767221307e-46,1.0,7.960865971060203e-64,9.245827220989161e-67,True,True
0.0031622776601683794,0.1,zero,1.0,tree_eta,7.078322021207936e-62,-1.0942687833372484e-11,1.1826070783295878e-61,1.4339915842254741e-64,1.0,1.0,8.012904309341208e-31,3.7252734392199936e-35,4.642727618837953e-31,3.370549217847177e-31,1024,1.2656004455523084e-30,1024,3.370549217847177e-31,0.0,0.0069282032302755096,1.3927957699248753e-30,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,4.4767239198287495e-64,5.1993107319320465e-67,True,True
0.005623413251903491,0.1,zero,1.0,tree_eta,2.2383619599143747e-62,-1.0942687833372484e-10,3.7397319445586524e-62,4.53467955166568e-65,1.0,1.0,4.5059872279383935e-31,3.7252734392199947e-35,2.610797601675169e-30,2.1601616261469373e-30,1024,3.0614335772034005e-30,1024,2.1601616261469373e-30,0.0,0.012320281152964092,7.832266189790669e-31,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512783e-88,5.237068767221307e-46,1.0,2.517446861587833e-64,2.923787287071071e-67,True,True
0.01,0.1,zero,1.0,tree_eta,7.078322021207937e-63,-1.0942687833372483e-09,1.182607078329588e-62,1.433991584225474e-65,1.0,1.0,2.5339028290496633e-31,3.7252734392199936e-35,1.4681593831297997e-29,1.4428166295658639e-29,1024,1.4935021366937356e-29,1024,1.4428166295658639e-29,0.0,0.02190890230020665,4.40440694841045e-31,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,1.4156644042415873e-64,1.6441664175862415e-67,True,True
0.01778279410038923,0.1,zero,1.0,tree_eta,2.2383619599143744e-63,-1.0942687833372485e-08,3.7397319445586524e-63,4.53467955166568e-66,1.0,1.0,1.4249182747913625e-31,3.7252734392199936e-35,8.25606693099857e-29,8.241814022977218e-29,1024,8.270319839019923e-29,1024,8.241814022977218e-29,0.0,0.03896014985701188,2.476780040046714e-31,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,7.960865971060202e-65,9.245827220989159e-68,True,True
0.03162277660168379,0.1,zero,1.0,tree_eta,7.078322021207938e-64,-1.094268783337248e-07,1.1826070783295881e-63,1.4339915842254745e-66,1.0,1.0,8.012904309341207e-32,3.7252734392199936e-35,4.6427276188379515e-28,4.641925955879673e-28,1024,4.64352928179623e-28,1024,4.641925955879673e-28,0.0,0.06928203230275509,1.3927957699248754e-31,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,4.47672391982875e-65,5.199310731932047e-68,True,True
0.056234132519034905,0.1,zero,1.0,tree_eta,2.238361959914375e-64,-1.094268783337248e-06,3.739731944558654e-64,4.534679551665681e-67,1.0,1.0,4.505987227938394e-32,3.7252734392199936e-35,2.6107976016751683e-27,2.6107525045501545e-27,1024,2.610842698800182e-27,1024,2.6107525045501545e-27,0.0,0.12320281152964092,7.832266189790668e-32,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,2.5174468615878333e-65,2.9237872870710714e-68,True,True
0.1,0.1,zero,1.0,tree_eta,7.078322021207935e-65,-1.0942687833372485e-05,1.1826070783295877e-64,1.4339915842254742e-67,1.0,1.0,2.5339028290496636e-32,3.7252734392199936e-35,1.4681593831298e-26,1.4681568455016975e-26,1024,1.4681619207579024e-26,1024,1.4681568455016975e-26,0.0,0.21908902300206648,4.4044069484104506e-32,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512782e-88,5.237068767221307e-46,1.0,1.415664404241587e-65,1.6441664175862415e-68,True,True
0.1778279410038923,0.1,zero,1.0,tree_eta,2.2383619599143746e-65,-0.00010942687833372486,3.7397319445586523e-65,4.534679551665679e-68,1.0,1.0,1.4249182747913627e-32,3.7252734392199947e-35,8.256066930998571e-26,8.256065502355023e-26,1024,8.25606835964212e-26,1024,8.256065502355023e-26,0.0,0.3896014985701188,2.476780040046714e-32,1.2986766571533386e-17,7.700146102510003e+27,2.875343869512783e-88,5.237068767221307e-46,1.0,7.960865971060202e-66,9.245827220989159e-69,True,True
