T_K,nH_cm3,Lvol_erg_cm3_s,Lambda_per_nH_squared_erg_cm3_s,tcool_s,mu,tau_chem_s,L_excitation_HI_erg_cm3_s,L_excitation_HeII_erg_cm3_s,L_ionization_HI_erg_cm3_s,L_ionization_HeI_erg_cm3_s,L_ionization_HeII_erg_cm3_s,L_recombination_HII_erg_cm3_s,L_recombination_HeII_erg_cm3_s,L_recombination_HeIII_erg_cm3_s,L_dielectronic_HeII_erg_cm3_s,L_freefree_erg_cm3_s
266072.50597988087,1e-06,1.0047993417226914e-35,1.0047993417226914e-23,1.2266106654550389e+19,0.588267520862299,8330491076946268.0,1.2746329844925463e-36,3.349342009246887e-36,9.598814100151954e-37,1.5461093531001044e-38,1.2150288819138229e-36,1.218455555590253e-36,1.9826439670252744e-40,3.842109205685213e-37,2.513187992658717e-38,1.6056504175453986e-36
281838.2931264455,1e-06,9.452663931437465e-36,9.452663931437465e-24,1.3811345315466484e+19,0.5882619360069308,7217135777879577.0,1.1661534090906559e-36,2.9221759989205156e-36,9.1136250042074e-37,1.291126882788567e-38,1.1539144536575743e-36,1.2254152098826472e-36,1.6656340948069238e-40,3.8650642400433224e-37,2.1006912261860357e-38,1.653051190961773e-36
298538.26189179573,1e-06,8.931557558444313e-36,8.931557558444313e-24,1.5483398367364219e+19,0.5882574829770733,6300104114222009.0,1.0670392650090602e-36,2.55322406475626e-36,8.65002493140148e-37,1.080030367207047e-38,1.095443396628037e-36,1.231996491071713e-36,1.4094623253384469e-40,3.886628626554337e-37,1.7586374487533936e-38,1.7016613607915215e-36
316227.7660168379,1e-06,8.474893892942082e-36,8.474893892942083e-24,1.728470063352172e+19,0.5882539037463579,5539151784146858.0,9.764409364793958e-37,2.2339084977108178e-36,8.207183622466305e-37,9.048787405004316e-39,1.0395344802956056e-36,1.2381870624523257e-36,1.2008495331912787e-40,3.9068074061782846e-37,1.4744329387058555e-38,1.7515106113940965e-36
334965.43915782793,1e-06,8.074381702352017e-36,8.074381702352018e-24,1.921715069487804e+19,0.5882510047296362,4903254007310858.0,8.935928841723823e-37,1.9570191538880466e-36,7.784298016321214e-37,7.592488239911552e-39,9.861033246449242e-37,1.2439747520418029e-36,1.0297123257631406e-40,3.9255953122530946e-37,1.2378482916917608e-38,1.8026283123580264e-36
354813.3892335753,1e-06,7.722971078677349e-36,7.722971078677349e-24,2.1282155378331218e+19,0.5882486394545428,4368301106385228.5,8.178044126114449e-37,1.716480099909371e-36,7.38059201291607e-37,6.379284324117236e-39,9.350642896772651e-37,1.249347668244327e-36,8.883311490790118e-41,3.9429800057713204e-37,1.0405528126056558e-38,1.8550437608011202e-36
375837.4042884443,1e-06,7.414649236925748e-36,7.414649236925749e-24,2.348068930243679e+19,0.5882466961898654,3915412523759976.5,7.484515421240539e-37,1.5071579755185642e-36,6.995315976050108e-37,5.366749633282851e-39,8.863317444724022e-37,1.254294297736871e-36,7.707495326985109e-41,3.958944444851886e-37,8.757445183191931e-39,1.908786365213913e-36
398107.1705534969,1e-06,7.144272185244806e-36,7.144272185244806e-24,2.581336647575318e+19,0.5882450890360461,3529693145892262.5,6.8496984913054355e-37,1.3247045317636574e-36,6.627746076469461e-37,4.520248096974463e-39,8.398209165201954e-37,1.258803590459429e-36,6.723366130625071e-41,3.973468644715736e-37,7.378555222211436e-39,1.9638857882719693e-36
421696.5034285822,1e-06,6.907425783758629e-36,6.90742578375863e-24,2.828052057178921e+19,0.5882437514548292,3199308554895059.5,6.268481536951029e-37,1.1654270856904088e-36,6.277183541624043e-37,3.811423459085061e-39,7.954484551484269e-37,1.2628650349470833e-36,5.894659588578461e-41,3.986531004253678e-37,6.223168883035172e-39,2.020372060751829e-36
446683.5921509635,1e-06,6.700310850374926e-36,6.700310850374927e-24,3.0882290368156074e+19,0.588242631531912,2914792087300358.0,5.736229477517676e-37,1.026181753809063e-36,5.942953856233804e-37,3.2169983608643546e-39,7.531327990495127e-37,1.2664687261291272e-36,5.192779142443308e-41,3.998109321044821e-37,5.253704683308609e-39,2.078275675071996e-36
