phase,mG_eV,max_initial_axis_tree_force_ratio,max_tree_index,max_charged_CW_force_ratio,max_CW_index,max_d_over_s,max_h_over_s,min_scalar_ratio,VA_marker_eV,VA_over_MI,direct_gaugino_cX1_eV,gauge_common_msoft_cX1_eV,gauge_common_old_force_ratio_cX1,phase_offset_for_axis_longitudinal_budget
zero,1e-14,1.7901721367735296e+19,1024,25151.681174684833,1024,1.0155121398187084e-50,1.0077262226511268e-25,1.0,6494261.864469446,6.494261864469446e-05,7.941560070455937e-16,1.161586065972782e-16,0.10954473172831843,5.586054991350296e-21
zero,1.7782794100389227e-14,3.1834262512497496e+19,1024,79536.59949438341,1024,3.2113313533784893e-50,1.7920187926967978e-25,1.0,8660237.382350953,8.660237382350954e-05,1.412231275687905e-15,2.065624584107512e-16,0.3464108579335997,3.1412695664220897e-21
zero,3.1622776601683796e-14,5.661021355974826e+19,1024,251516.8117468483,1024,1.0155121398187087e-49,3.186710121455525e-25,1.0,11548612.156987,0.00011548612156987,2.5113417997688034e-15,3.673257666788602e-16,1.0954473172831847,1.766465690761911e-21
zero,5.6234132519034906e-14,1.0066877717120655e+20,1024,795365.9949438339,1024,3.2113313533784894e-49,5.666860994746994e-25,1.0,15400321.82308408,0.0001540032182308408,4.465867414098954e-15,6.532078476617785e-16,3.4641085793359974,9.933566574463385e-22
zero,1e-13,1.7901721367735298e+20,1024,2515168.1174684833,1024,1.0155121398187086e-48,1.007726222651127e-24,1.0,20536659.213295177,0.00020536659213295176,7.941560070455938e-15,1.161586065972782e-15,10.954473172831843,5.586054991350296e-22
zero,1.7782794100389227e-13,3.18342625124975e+20,1024,7953659.949438341,1024,3.2113313533784896e-48,1.792018792696798e-24,1.0,27386075.205963504,0.000273860752059635,1.412231275687905e-14,2.0656245841075118e-15,34.64108579335996,3.1412695664220894e-22
zero,3.162277660168379e-13,5.661021355974826e+20,1024,25151681.174684826,1024,1.0155121398187085e-47,3.1867101214555244e-24,1.0,36519918.22998895,0.00036519918229988946,2.5113417997688025e-14,3.6732576667886006e-15,109.54473172831837,1.7664656907619112e-22
zero,5.62341325190349e-13,1.0066877717120655e+21,1024,79536599.4943834,1024,3.2113313533784895e-47,5.666860994746995e-24,1.0,48700093.660542354,0.00048700093660542355,4.465867414098953e-14,6.532078476617784e-15,346.4108579335996,9.933566574463386e-23
zero,1e-12,1.7901721367735296e+21,1024,251516811.74684823,1024,1.0155121398187084e-46,1.0077262226511268e-23,1.0,64942618.644694455,0.0006494261864469445,7.941560070455938e-14,1.161586065972782e-14,1095.4473172831845,5.586054991350296e-23
zero,1.7782794100389228e-12,3.18342625124975e+21,1024,795365994.9438341,1024,3.21133135337849e-46,1.792018792696798e-23,1.0,86602373.82350954,0.0008660237382350954,1.412231275687905e-13,2.0656245841075118e-14,3464.1085793359957,3.1412695664220897e-23
