phase,mG_eV,max_initial_axis_tree_force_ratio,max_tree_index,max_charged_CW_force_ratio,max_CW_index,max_d_over_s,max_h_over_s,min_scalar_ratio,VA_marker_eV,VA_over_MI,direct_gaugino_cX1_eV,gauge_common_msoft_cX1_eV,gauge_common_old_force_ratio_cX1,phase_offset_for_axis_longitudinal_budget
zero,1.7782794100389227e-30,3183.42625124975,1024,7.953138780359829e-28,1024,3.211336271744529e-82,1.7920246556198068e-41,1.0,0.08660238351588087,8.660238351588087e-13,1.4122315917963461e-31,2.065625046469009e-32,3.464110130121769e-33,3.14126956642209e-05
zero,3.1622776601683794e-30,5661.0213559748245,1024,2.515075482525732e-27,1024,1.015512678768476e-81,3.186715984378533e-41,1.0,0.11548612565710958,1.1548612565710958e-12,2.511341977529657e-31,3.6732579267936e-32,1.0954474723617626e-32,1.766465690761911e-05
zero,5.623413251903491e-30,10066.877717120657,1024,7.953495262108393e-27,1024,3.2113319761086256e-81,5.666866857670002e-41,1.0,0.1540032199544155,1.540032199544155e-12,4.46586751406123e-31,6.532078622829343e-32,3.464108734414574e-32,9.933566574463386e-06
zero,1e-29,17901.721367735296,1024,2.5151388358078266e-26,1024,1.0155122169902125e-80,1.0077268089434276e-40,1.0,0.20536659285977718,2.0536659285977717e-12,7.941560126668856e-31,1.161586074194862e-31,1.0954473327910418e-31,5.586054991350297e-06
zero,1.7782794100389227e-29,31834.262512497502,1024,7.953607882812248e-26,1024,3.211331457043672e-80,1.7920193789890987e-40,1.0,0.27386075236613483,2.7386075236613483e-12,1.41223127884899e-30,2.0656245887311277e-31,3.464108594843856e-31,3.14126956642209e-06
zero,3.162277660168379e-29,56610.213559748256,1024,2.515158859002383e-25,1024,1.0155121548965432e-79,3.1867107077478258e-40,1.0,0.3651991824291394,3.651991824291394e-12,2.5113418015464112e-30,3.673257669388651e-31,1.0954473188339697e-30,1.766465690761911e-06
zero,5.623413251903491e-29,100668.77717120656,1024,7.95364348573352e-25,1024,3.2113313768343604e-79,5.6668615810392955e-40,1.0,0.4870009366599278,4.870009366599278e-12,4.465867415098577e-30,6.532078478079901e-31,3.464108580886783e-30,9.933566574463386e-07
zero,1e-28,179017.21367735293,1024,2.5151651898052345e-24,1024,1.0155121436541447e-78,1.007726281280357e-39,1.0,0.6494261864699288,6.4942618646992876e-12,7.941560071018066e-30,1.1615860660550027e-30,1.0954473174382628e-29,5.586054991350296e-07
zero,1.7782794100389227e-28,318342.625124975,1024,7.953654743278548e-24,1024,3.2113313598632934e-78,1.7920188513260282e-39,1.0,0.8660237382447877,8.660237382447877e-12,1.4122312757195158e-29,2.065624584153748e-30,3.4641085794910743e-29,3.14126956642209e-07
zero,3.1622776601683794e-28,566102.1355974826,1024,2.515167191672155e-23,1024,1.0155121409383205e-77,3.186710180084755e-39,1.0,1.1548612157027873,1.1548612157027874e-11,2.5113417997865793e-29,3.673257666814602e-30,1.095447317298692e-28,1.7664656907619112e-07
zero,5.62341325190349e-28,1006687.7717120653,1024,7.953658303118138e-23,1024,3.2113313553359053e-77,5.666861053376224e-39,1.0,1.5400321823101315,1.5400321823101314e-11,4.4658674141089495e-29,6.532078476632404e-30,3.4641085793515026e-28,9.933566574463386e-08
zero,1e-27,1790172.1367735297,1024,2.515167824707186e-22,1024,1.0155121401634351e-76,1.0077262285140498e-38,1.0,2.0536659213302446,2.0536659213302445e-11,7.941560070461559e-29,1.1615860659736041e-29,1.0954473172847353e-27,5.586054991350296e-08
zero,1.7782794100389228e-27,3183426.25124975,1024,7.95365942882739e-22,1024,3.211331353988153e-76,1.7920187985597208e-38,1.0,2.738607520596657,2.7386075205966568e-11,1.4122312756882212e-28,2.0656245841079744e-29,3.464108579337547e-27,3.14126956642209e-08
zero,3.1622776601683794e-27,5661021.355974825,1024,2.515168024889353e-21,1024,1.0155121399267881e-75,3.186710127318448e-38,1.0,3.6519918229990247,3.6519918229990246e-11,2.5113417997689807e-28,3.6732576667888614e-29,1.0954473172833391e-26,1.7664656907619112e-08
zero,5.62341325190349e-27,10066877.717120655,1024,7.953659784806824e-21,1024,3.211331353570349e-75,5.666861000609917e-38,1.0,4.87000936605429,4.870009366054289e-11,4.465867414099053e-28,6.532078476617929e-29,3.464108579336149e-26,9.933566574463385e-09
zero,1e-26,17901721.367735296,1024,2.515168088192403e-20,1024,1.0155121398527931e-74,1.0077262232374193e-37,1.0,6.494261864469469,6.494261864469469e-11,7.941560070455994e-28,1.1615860659727901e-28,1.0954473172832e-25,5.586054991350296e-09
zero,1.778279410038923e-26,31834262.512497503,1024,7.953659897377296e-20,1024,3.211331353439068e-74,1.7920187932830904e-37,1.0,8.660237382350964,8.660237382350963e-11,1.4122312756879082e-27,2.0656245841075163e-28,3.4641085793360123e-25,3.141269566422089e-09
zero,3.162277660168379e-26,56610213.55974825,1024,2.515168108210574e-19,1024,1.0155121398294774e-73,3.1867101220418173e-37,1.0,11.548612156987005,1.1548612156987005e-10,2.5113417997688047e-27,3.6732576667886035e-28,1.0954473172831855e-24,1.7664656907619111e-09
zero,5.623413251903491e-26,100668777.17120656,1024,7.953659932975195e-19,1024,3.211331353397637e-73,5.666860995333287e-37,1.0,15.400321823084083,1.5400321823084082e-10,4.465867414098955e-27,6.532078476617787e-28,3.464108579335999e-24,9.933566574463385e-10
