epsilon,a,N,E,dlnE,Ht,t_Gyr,chi,q,Omega_chi,w_chi,Omega_m,Omega_r,D_regular_norm_PM,f_regular,D_matched,f_matched
0.0001,0.09131503241589564,-2.3934398563483725,20.389641767676466,-1.4991203888973934,0.6651274283612086,0.4732405425101628,136.52792161502242,1.4998803514138044,7.493579331026908e-05,0.0006971609426733475,0.9950949672209819,0.0031827280062463694,4.529724962789539,0.9969302109854726,4.529738523370317,0.9969303851846487
0.0001,0.09140228758007767,-2.392484772606813,20.360469147216417,-1.4991117806445238,0.6651301930426688,0.47392057471887394,136.52935412424566,1.4998759216664312,7.493551733900219e-05,0.0006949353613780835,0.9950932870810387,0.0031796843169729803,4.5340400015057165,0.9969296625035151,4.53405357575783,0.9969298362881228
0.0001,0.09148962612005745,-2.391529688865253,20.331338433023223,-1.4991031535408081,0.665132959239058,0.4746015812796164,136.5307866292338,1.4998714827988409,7.493524061330307e-05,0.0006927076861551452,0.9950915905635311,0.003176643486132732,4.538359148351855,0.9969291047154369,4.538372736287238,0.9969292780864616
0.0001,0.09157704811550389,-2.390574605123694,20.30224956502647,-1.4990945075270388,0.6651357269602395,0.4752835635828249,136.53221912997805,1.4998670347799954,7.493496313092862e-05,0.0006904779055606134,0.995089877632655,0.003173605510977625,4.5426824071963905,0.9969285376019777,4.5426960088269945,0.9969287105604022
0.0001,0.09166455364616209,-2.389619521382134,20.273202483242287,-1.4990858425438476,0.6651384962161004,0.47596652302089854,136.5336516264697,1.4998625775787768,7.493468488962896e-05,0.0006882460081346598,0.9950881482524948,0.0031705703887621095,4.547009781911241,0.9969279611438154,4.547023397249031,0.9969281336906206
0.0001,0.0917521427918532,-2.388664437640575,20.24419712777323,-1.4990771585317022,0.6651412670165517,0.47665046098820246,136.53508411869996,1.4998581111639875,7.493440588714915e-05,0.0006860119823786119,0.9950864023870232,0.0031675381167431066,4.551341276371803,0.9969273753215662,4.551354905428761,0.9969275474577304
0.0001,0.0918398156324748,-2.387709353899015,20.215233438808166,-1.4990684554309073,0.6651440393715281,0.47733537888107136,136.53651660666,1.4998536355043492,7.493412612122784e-05,0.0006837758167714565,0.9950846400001003,0.0031645086921799678,4.555676894456971,0.9969267801157843,4.555690537245084,0.9969269518422836
0.0001,0.09192757224800072,-2.3867542701574553,20.186311356622145,-1.4990597331816033,0.6651468132909883,0.4780212780978115,136.537949090341,1.4998491505685032,7.493384558959786e-05,0.0006815374997638079,0.9950828610554742,0.0031614821123345086,4.560016640049114,0.9969261755069618,4.560030296580384,0.99692634682477
0.0001,0.09201541271848121,-2.3857991864158956,20.157430821576284,-1.4990509917237662,0.665149588784915,0.47870816003870337,136.53938156973405,1.4998446563250099,7.493356428998554e-05,0.0006792970197846253,0.9950810655167791,0.0031584583744709857,4.564360517034087,0.9969255614755287,4.564374187320533,0.996925732385617
0.0001,0.09210333712404306,-2.384844102674336,20.128591774117616,-1.4990422309972062,0.6651523658633149,0.4793960261060053,136.54081404483026,1.499840152742349,7.493328222011163e-05,0.0006770543652299427,0.9950792533475368,0.0031554374758561007,4.56870852930125,0.996924938001852,4.568722213354898,0.9969251085051898
0.0001,0.09219134554488956,-2.383889018932776,20.09979415477899,-1.4990334509415708,0.6651551445362189,0.4800848777039553,136.5422465156207,1.4998356397889185,7.493299937769036e-05,0.0006748095244738368,0.995077424511156,0.0031524194137589993,4.573060680743449,0.9969243050662366,4.573074378576339,0.9969244751637905
0.0001,0.09227943806130066,-2.382933935191217,20.071037904178958,-1.4990246514963401,0.6651579248136821,0.4807747162387736,136.54367898209642,1.4998311174330357,7.493271576043055e-05,0.0006725624858553769,0.9950755789709309,0.0031494041854512656,4.577416975257022,0.9969236626489245,4.577430686881211,0.9969238323416589
0.0001,0.0923676147536331,-2.381978851449657,20.042322963021572,-1.4990158326008265,0.6651607067057838,0.4814655431186673,136.5451114442484,1.4998265856429356,7.493243136603436e-05,0.0006703132376930519,0.9950737166900416,0.0031463917882069213,4.581777416741816,0.9969230107300943,4.581791142169373,0.9969231800189716
0.0001,0.09245587570232026,-2.381023767708098,20.013649272096416,-1.4990069941941784,0.6651634902226277,0.4821573597538294,136.5465439020676,1.4998220443867711,7.493214619219791e-05,0.0006680617682759727,0.9950718376315548,0.0031433822193024184,4.586142009101177,0.996922349289862,4.586155748344179,0.9969225181758421
0.0001,0.09254422098787256,-2.380068683966538,19.985016772278296,-1.4989981362153753,0.665166275374342,0.48285016755644594,136.54797635554502,1.4998174936326136,7.49318602366114e-05,0.0006658080658646564,0.9950699417584211,0.003140375476016648,4.590510756241954,0.9969216783082799,4.590524509312496,0.9969218467923205
0.0001,0.09263265069087717,-2.3791136002249784,19.956425404527273,-1.4989892586032294,0.6651690621710795,0.483543967940695,136.54940880467151,1.4998129333484516,7.49315734969584e-05,0.0006635521186964626,0.9950680290334771,0.0031373715556309275,4.594883662074505,0.996920997765337,4.594897428984689,0.9969211658483935
0.0001,0.09272116489199836,-2.3781585164834187,19.927875109888458,-1.4989803612963852,0.6651718506230172,0.4842387623227512,136.550841249438,1.499808363502191,7.493128597091653e-05,0.0006612939149794596,0.9950660994194437,0.0031343704554290044,4.599260730512688,0.9969203076409587,4.599274511274637,0.9969204753239842
0.0001,0.09280976367197745,-2.377203432741859,19.89936582949191,-1.4989714442333182,0.665174640740357,0.4849345521207883,136.55227368983535,1.4998037840616554,7.493099765615761e-05,0.0006590334428885678,0.9950641528789265,0.00313137217269705,4.6036419654738845,0.9969196079150064,4.60365576009973,0.9969197751989517
