mg,mv,kk,sigma,phase,A,cforce,contactforce,treeBforce,loopBforce,valleyforce,force_sum,min_mass2,max_mass2,min_baseline,max_stabilization,max_abs_Jy,metric_fraction,FT_ratio,FZ_ratio,mass_hierarchy,perturbativity,stable,force_ok,auxiliary_ok,hierarchy_ok,metric_ok,perturbative_ok,necessary_intersection,asymptotic_mass2,critical_U,critical_chi
1e-06,1000000000000.0,100000000000000.0,-1,pi,4.335970987269697e-31,4.22335453033213e-11,0.0002533045986560875,0.0,0.0,0.0,0.00025330464088963285,9.983433908532248e-39,7.394068262319982e-37,5.662844897208407e-66,7.394172325623676e-37,0.0,0.0,0.004217543716430215,2.482299391965656e-31,0.1,0.012665147955292222,True,True,True,True,True,True,True,-1.0406330369447272e-41,8.671941974539394e-19,143.22790161522147
1e-06,1000000000000.0,100000000000000.0,0,zero,4.335970987269697e-31,4.22335453033213e-11,0.0,0.0,0.0,0.0,4.22335453033213e-11,9.983433908532248e-39,7.394068262319982e-37,5.662844897208407e-66,7.394172325623676e-37,0.0,0.0,0.004217543716430215,2.482299391965656e-31,0.1,0.0,True,True,True,True,True,True,True,-1.0406330369447272e-41,8.671941974539394e-19,143.22790161522147
1e-06,1000000000000.0,100000000000000.0,0,quadrature,4.335970987269697e-31,4.22335453033213e-11,0.0,0.0,0.0,7.066639731845917e-37,4.22335453033213e-11,9.983433908532248e-39,7.394068262319982e-37,5.662844897208407e-66,7.394172325623676e-37,2.22385128931552e-17,2.6050968398258756e-17,0.004217543716430215,2.482299391965656e-31,0.1,0.0,True,True,True,True,True,True,True,-1.0406330369447272e-41,8.671941974539394e-19,143.22790161522147
1e-06,1000000000000.0,100000000000000.0,0,pi,4.335970987269697e-31,4.22335453033213e-11,0.0,0.0,0.0,0.0,4.22335453033213e-11,9.983433908532248e-39,7.394068262319982e-37,5.662844897208407e-66,7.394172325623676e-37,0.0,0.0,0.004217543716430215,2.482299391965656e-31,0.1,0.0,True,True,True,True,True,True,True,-1.0406330369447272e-41,8.671941974539394e-19,143.22790161522147
1e-06,1000000000000.0,100000000000000.0,1,zero,4.335970987269697e-31,4.22335453033213e-11,0.0002533045986560875,0.0,0.0,0.0,0.00025330464088963285,9.983433908532248e-39,7.394068262319982e-37,5.662844897208407e-66,7.394172325623676e-37,0.0,0.0,0.004217543716430215,2.482299391965656e-31,0.1,0.012665147955292222,True,True,True,True,True,True,True,-1.0406330369447272e-41,8.671941974539394e-19,143.22790161522147
1e-06,1000000000000.0,100000000000000.0,1,quadrature,4.335970987269697e-31,4.22335453033213e-11,0.0002533046097238578,6.486026284518145e-33,1.1919444343480163e-08,7.066639731845917e-37,0.0002533165714017466,9.983433908532248e-39,7.394068262319982e-37,5.662844897208407e-66,7.394172325623676e-37,2.22385128931552e-17,2.6050968398258756e-17,0.004217543716430215,2.482299391965656e-31,0.1,0.012665147955292222,True,True,True,True,True,True,True,-1.0406330369447272e-41,8.671941974539394e-19,143.22790161522147
1e-06,1000000000000.0,100000000000000.0,1,pi,4.335970987269697e-31,4.22335453033213e-11,0.0002533045986560875,0.0,0.0,0.0,0.00025330464088963285,9.983433908532248e-39,7.394068262319982e-37,5.662844897208407e-66,7.394172325623676e-37,0.0,0.0,0.004217543716430215,2.482299391965656e-31,0.1,0.012665147955292222,True,True,True,True,True,True,True,-1.0406330369447272e-41,8.671941974539394e-19,143.22790161522147
1e-06,10000000000000.0,100000000000000.0,-1,zero,4.335970987269697e-31,4.22335453033213e-11,2.5330459865608746e-06,0.0,0.0,0.0,2.533088220106178e-06,8.953207201956968e-41,7.383765995254228e-39,5.662844897208407e-66,7.394172325623676e-39,0.0,0.0,4.2175437164302156e-05,2.4822993919656557e-33,0.1,0.012665147955292222,True,True,True,True,True,True,True,-1.0406330369447272e-41,8.671941974539394e-17,140.92531652222743
1e-06,10000000000000.0,100000000000000.0,-1,quadrature,4.335970987269697e-31,4.22335453033213e-11,2.5330460972385774e-06,6.486026284518144e-35,1.191944434348016e-10,8.786493144405499e-33,2.5332075252273155e-06,8.953207201956968e-41,7.383765995254228e-39,5.662844897208407e-66,7.394172325623676e-39,2.22385128931552e-17,2.9048598495568297e-16,4.2175437164302156e-05,2.4822993919656557e-33,0.1,0.012665147955292222,True,True,True,True,True,True,True,-1.0406330369447272e-41,8.671941974539394e-17,140.92531652222743
1e-06,10000000000000.0,100000000000000.0,-1,pi,4.335970987269697e-31,4.22335453033213e-11,2.5330459865608746e-06,0.0,0.0,0.0,2.533088220106178e-06,8.953207201956968e-41,7.383765995254228e-39,5.662844897208407e-66,7.394172325623676e-39,0.0,0.0,4.2175437164302156e-05,2.4822993919656557e-33,0.1,0.012665147955292222,True,True,True,True,True,True,True,-1.0406330369447272e-41,8.671941974539394e-17,140.92531652222743
