mG_eV,M_vector_eV,mKK_eV,sigma,phase,Lambda_eV,A_5d,c_Q,beta_Q,min_my2_eV2,max_my2_eV2,min_my2_over_Href2,clockoff_my2_leading_eV2,RSS_c_2loop_force_ratio,contact_d_1loop_force_ratio,contact_Btree_1loop_force_ratio,contact_B5d_2loop_force_ratio,quadratic_valley_force_ratio,quadratic_valley_energy_over_U,valley_metric_boundary_fraction,selected_feedback_sum_ratio,known_axis_feedback_without_valley,charged_over_vector,vector_over_KK,KK_over_M5,max_hierarchy_ratio,FTcanonical_over_vector2,max_auxiliary_over_vector2,max_coupling_loop_parameter,local_positive_curvature,hierarchy_pass,auxiliary_pass,perturbative_coupling_pass,necessary_conditions_pass,Ucrit_leading_eV4,chi_critical_leading,chi_gap_after_last
1e-12,3651741272548.377,100000000000000.0,1.0,zero,3651741272548.377,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,7.494322924145965e-40,5.544847009791492e-38,3.6256190100881486e+26,-1.0406330369441609e-53,4.223354530332044e-23,1.8995165172948175e-05,0.0,0.0,0.0,0.0,0.0,1.8995165172948175e-05,1.8995165172948175e-05,0.027384196342643614,0.03651741272548377,1.7433475691889013e-09,0.03651741272548377,3.162711610557504e-10,3.162711610557504e-10,0.012665147955292222,True,True,True,True,True,1.156422048151872e-29,155.7482080583769,15.95396139102246
1e-12,4216965034285.8223,100000000000000.0,1.0,zero,4216965034285.8223,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,5.619949363684511e-40,4.1580486642770226e-38,2.718830700910761e+26,-1.0406330369441609e-53,4.223354530332044e-23,1.4244364368507374e-05,0.0,0.0,0.0,0.0,0.0,1.4244364368507374e-05,1.4244364368507374e-05,0.023713737056616554,0.042169650342858224,1.7433475691889013e-09,0.042169650342858224,2.3716991225455974e-10,2.3716991225455974e-10,0.012665147955292222,True,True,True,True,True,1.542113585836729e-29,155.60429649006474,15.810049822710312
1e-12,4869675251658.631,100000000000000.0,1.0,zero,4869675251658.631,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,4.214367484568608e-40,3.118096615463892e-38,2.0388353987682692e+26,-1.0406330369441609e-53,4.223354530332044e-23,1.0681766355565245e-05,0.0,0.0,0.0,0.0,0.0,1.0681766355565245e-05,1.0681766355565245e-05,0.020535250264571463,0.04869675251658631,1.7433475691889013e-09,0.04869675251658631,1.7785234382758102e-10,1.7785234382758102e-10,0.012665147955292222,True,True,True,True,True,2.0564415175435135e-29,155.46038492175262,15.666138254398192
1e-12,5623413251903.491,100000000000000.0,1.0,zero,5623413251903.491,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,3.1603297726769604e-40,2.3382425960755006e-38,1.5289108593183404e+26,-1.0406330369441609e-53,4.223354530332044e-23,8.010194735480624e-06,0.0,0.0,0.0,0.0,0.0,8.010194735480624e-06,8.010194735480624e-06,0.017782794100389226,0.05623413251903491,1.7433475691889013e-09,0.05623413251903491,1.333704427525079e-10,1.333704427525079e-10,0.012665147955292222,True,True,True,True,True,2.742308837634747e-29,155.3164733534405,15.522226686086071
1e-12,6493816315762.113,100000000000000.0,1.0,zero,6493816315762.113,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,2.369912996111384e-40,1.7534345828115066e-38,1.1465213999883203e+26,-1.0406330369441609e-53,4.223354530332044e-23,6.006798647762244e-06,0.0,0.0,0.0,0.0,0.0,6.006798647762244e-06,6.006798647762244e-06,0.01539926526059492,0.06493816315762113,1.7433475691889013e-09,0.06493816315762113,1.000137227162115e-10,1.000137227162115e-10,0.012665147955292222,True,True,True,True,True,3.656927608596827e-29,155.17256178512838,15.378315117773951
1e-12,7498942093324.559,100000000000000.0,1.0,zero,7498942093324.559,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,1.7771840324056314e-40,1.314890440093619e-38,8.59769758726969e+25,-1.0406330369441609e-53,4.223354530332044e-23,4.504463522582932e-06,0.0,0.0,0.0,0.0,0.0,4.504463522582932e-06,4.504463522582932e-06,0.013335214321633239,0.07498942093324558,1.7433475691889013e-09,0.07498942093324558,7.499971151866889e-11,7.499971151866889e-11,0.012665147955292222,True,True,True,True,True,4.876591341933641e-29,155.02865021681623,15.234403549461803
1e-12,8659643233600.653,100000000000000.0,1.0,zero,8659643233600.653,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,1.3327000148190606e-40,9.86028726932809e-39,6.447363634285043e+25,-1.0406330369441609e-53,4.223354530332044e-23,3.3778711117342177e-06,0.0,0.0,0.0,0.0,0.0,3.3778711117342177e-06,3.3778711117342177e-06,0.011547819846894581,0.08659643233600653,1.7433475691889013e-09,0.08659643233600653,5.6241849369454494e-11,5.6241849369454494e-11,0.012665147955292222,True,True,True,True,True,6.503039070370615e-29,154.8847386485041,15.090491981149682
1e-12,10000000000000.0,100000000000000.0,1.0,zero,10000000000000.0,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,9.993840238900655e-41,7.394172325623665e-39,4.834840654810885e+25,-1.0406330369441609e-53,4.223354530332044e-23,2.5330459865608746e-06,0.0,0.0,0.0,0.0,0.0,2.5330459865608746e-06,2.5330459865608746e-06,0.01,0.1,1.7433475691889013e-09,0.1,4.2175437164302154e-11,4.2175437164302154e-11,0.012665147955292222,True,True,True,True,True,8.671941974534674e-29,154.740827080192,14.946580412837562
1e-12,11547819846894.582,100000000000000.0,1.0,zero,11547819846894.582,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,7.494322924145027e-41,5.5448470097914815e-39,3.6256190100876947e+25,-1.0406330369441609e-53,4.223354530332044e-23,1.8995165172948173e-06,0.0,0.0,0.0,0.0,0.0,1.8995165172948173e-06,1.8995165172948173e-06,0.008659643233600653,0.11547819846894582,1.7433475691889013e-09,0.11547819846894582,3.1627116105575033e-11,3.1627116105575033e-11,0.012665147955292222,True,False,True,True,False,1.1564220481518723e-28,154.59691551187984,14.802668844525414
1e-12,13335214321633.24,100000000000000.0,1.0,zero,13335214321633.24,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,5.619949363683573e-41,4.158048664277013e-39,2.7188307009103075e+25,-1.0406330369441609e-53,4.223354530332044e-23,1.4244364368507376e-06,0.0,0.0,0.0,0.0,0.0,1.4244364368507376e-06,1.4244364368507376e-06,0.007498942093324558,0.1333521432163324,1.7433475691889013e-09,0.1333521432163324,2.3716991225455974e-11,2.3716991225455974e-11,0.012665147955292222,True,False,True,True,False,1.542113585836729e-28,154.45300394356772,14.658757276213294
1e-12,15399265260594.92,100000000000000.0,1.0,zero,15399265260594.92,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,4.2143674845676715e-41,3.118096615463882e-39,2.0388353987678158e+25,-1.0406330369441609e-53,4.223354530332044e-23,1.0681766355565242e-06,0.0,0.0,0.0,0.0,0.0,1.0681766355565242e-06,1.0681766355565242e-06,0.006493816315762113,0.1539926526059492,1.7433475691889013e-09,0.1539926526059492,1.7785234382758098e-11,1.7785234382758098e-11,0.012665147955292222,True,False,True,True,False,2.056441517543514e-28,154.3090923752556,14.514845707901173
1e-12,17782794100389.227,100000000000000.0,1.0,zero,17782794100389.227,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,3.160329772676025e-41,2.338242596075492e-39,1.5289108593178879e+25,-1.0406330369441609e-53,4.223354530332044e-23,8.010194735480627e-07,0.0,0.0,0.0,0.0,0.0,8.010194735480627e-07,8.010194735480627e-07,0.005623413251903491,0.17782794100389226,1.7433475691889013e-09,0.17782794100389226,1.3337044275250794e-11,1.3337044275250794e-11,0.012665147955292222,True,False,True,True,False,2.7423088376347457e-28,154.16518080694348,14.370934139589053
1e-12,20535250264571.46,100000000000000.0,1.0,zero,20535250264571.46,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,2.369912996110447e-41,1.753434582811497e-39,1.1465213999878673e+25,-1.0406330369441609e-53,4.223354530332044e-23,6.006798647762245e-07,0.0,0.0,0.0,0.0,0.0,6.006798647762245e-07,6.006798647762245e-07,0.004869675251658631,0.2053525026457146,1.7433475691889013e-09,0.2053525026457146,1.000137227162115e-11,1.000137227162115e-11,0.012665147955292222,True,False,True,True,False,3.656927608596827e-28,154.02126923863133,14.227022571276905
1e-12,23713737056616.55,100000000000000.0,1.0,zero,23713737056616.55,4.335970987269697e-31,5.203165184723636e-30,-2.601582592361818e-30,1.7771840324046952e-41,1.3148904400936098e-39,8.597697587265162e+24,-1.0406330369441609e-53,4.223354530332044e-23,4.504463522582934e-07,0.0,0.0,0.0,0.0,0.0,4.504463522582934e-07,4.504463522582934e-07,0.004216965034285823,0.23713737056616552,1.7433475691889013e-09,0.23713737056616552,7.499971151866891e-12,7.499971151866891e-12,0.012665147955292222,True,False,True,True,False,4.8765913419336395e-28,153.8773576703192,14.083111002964785
