n,Lambda_eV,mG_eV,muH_eV,muL_eV,cUV_hat,heavy_threshold_hat,cL_hat,ell,potential_hat,derivative_hat,normalized_error
128,1000000000000.0,1e-15,1250000000000.0,1000000000000.0,-2.1934770781467243,-0.036810091237053144,-2.2528963381250877,-50.99724206899999,-4.912437690319791,-4.887107394409208,0.0
128,1000000000000.0,1e-15,2000000000000.0,0.8435087432860433,-2.0744237680682933,-0.10824207728411175,-5.069747449647398,4.605170185988092,-4.912437690319792,-4.887107394409208,2.220446049250313e-16
128,1000000000000.0,1e-15,2000000000000.0,2.53052622985813,-2.0744237680682933,-0.10824207728411175,-4.958434752195528,2.4079456086518722,-4.912437690319792,-4.887107394409208,2.220446049250313e-16
128,1000000000000.0,1e-15,2000000000000.0,8.435087432860433,-2.0744237680682933,-0.10824207728411175,-4.836446802588039,0.0,-4.912437690319792,-4.887107394409208,2.220446049250313e-16
128,1000000000000.0,1e-15,2000000000000.0,25.305262298581297,-2.0744237680682933,-0.10824207728411175,-4.725134105136168,-2.197224577336219,-4.912437690319792,-4.887107394409207,2.220446049250313e-16
128,1000000000000.0,1e-15,2000000000000.0,84.35087432860433,-2.0744237680682933,-0.10824207728411175,-4.6031461555286795,-4.605170185988091,-4.912437690319792,-4.887107394409208,2.220446049250313e-16
128,1000000000000.0,1e-15,2000000000000.0,500000000000.0,-2.0744237680682933,-0.10824207728411175,-2.323126830897771,-49.6109477078801,-4.912437690319792,-4.887107394409208,2.220446049250313e-16
128,1000000000000.0,1e-15,2000000000000.0,1000000000000.0,-2.0744237680682933,-0.10824207728411175,-2.2528963381250877,-50.99724206899999,-4.912437690319791,-4.887107394409208,0.0
128,1000000000000.0,1e-14,500000000000.0,8.435087432860433,-2.4255762319317076,0.10244940103393688,-4.836446802588039,4.605170185988091,-4.679137043260433,-4.653806747349849,2.220446049250313e-16
128,1000000000000.0,1e-14,500000000000.0,25.3052622985813,-2.4255762319317076,0.10244940103393688,-4.725134105136169,2.407945608651872,-4.679137043260433,-4.653806747349849,2.220446049250313e-16
128,1000000000000.0,1e-14,500000000000.0,84.35087432860433,-2.4255762319317076,0.10244940103393688,-4.6031461555286795,-1.1102230246251565e-16,-4.6791370432604324,-4.653806747349848,2.220446049250313e-16
128,1000000000000.0,1e-14,500000000000.0,253.052622985813,-2.4255762319317076,0.10244940103393688,-4.491833458076809,-2.1972245773362196,-4.679137043260433,-4.653806747349849,2.220446049250313e-16
128,1000000000000.0,1e-14,500000000000.0,843.5087432860433,-2.4255762319317076,0.10244940103393688,-4.36984550846932,-4.605170185988092,-4.6791370432604324,-4.653806747349848,2.220446049250313e-16
128,1000000000000.0,1e-14,500000000000.0,500000000000.0,-2.4255762319317076,0.10244940103393688,-2.323126830897771,-45.00577752189201,-4.6791370432604324,-4.653806747349849,0.0
128,1000000000000.0,1e-14,500000000000.0,1000000000000.0,-2.4255762319317076,0.10244940103393688,-2.252896338125088,-46.3920718830119,-4.679137043260433,-4.653806747349849,2.220446049250313e-16
128,1000000000000.0,1e-14,750000000000.0,8.435087432860433,-2.3228707202337384,0.040826094015155384,-4.836446802588039,4.605170185988091,-4.679137043260433,-4.653806747349849,2.220446049250313e-16
128,1000000000000.0,1e-14,750000000000.0,25.3052622985813,-2.3228707202337384,0.040826094015155384,-4.725134105136168,2.407945608651872,-4.6791370432604324,-4.653806747349848,2.220446049250313e-16
128,1000000000000.0,1e-14,750000000000.0,84.35087432860433,-2.3228707202337384,0.040826094015155384,-4.6031461555286795,-1.1102230246251565e-16,-4.6791370432604324,-4.653806747349848,2.220446049250313e-16
128,1000000000000.0,1e-14,750000000000.0,253.052622985813,-2.3228707202337384,0.040826094015155384,-4.491833458076809,-2.1972245773362196,-4.679137043260433,-4.653806747349849,2.220446049250313e-16
128,1000000000000.0,1e-14,750000000000.0,843.5087432860433,-2.3228707202337384,0.040826094015155384,-4.369845508469321,-4.605170185988092,-4.679137043260433,-4.653806747349849,2.220446049250313e-16
128,1000000000000.0,1e-14,750000000000.0,500000000000.0,-2.3228707202337384,0.040826094015155384,-2.323126830897771,-45.00577752189201,-4.6791370432604324,-4.653806747349849,0.0
