phase,chi,U_eV4,tree_ratio,loop_ratio,total_ratio,scalar_log_parameter
zero,137.99351251022097,3.052452905096431e-14,1.4790826860795233e-06,1.8258903556412268e-06,3.30497304172075e-06,3.6340372776770016e-23
zero,137.99589112123505,3.0379661944667576e-14,1.482605035936725e-06,1.8302386079018936e-06,3.3128436438386184e-06,3.6340372776770016e-23
zero,137.99826955496616,3.023549308717515e-14,1.4861355105998142e-06,1.8345968900309725e-06,3.3207324006307867e-06,3.6340372776770016e-23
zero,138.00064781060783,3.0092019111441614e-14,1.4896741269614549e-06,1.8389652228820316e-06,3.3286393498434865e-06,3.6340372776770016e-23
zero,138.00302588735002,2.99492366666605e-14,1.4932209019362713e-06,1.843343627335749e-06,3.3365645292720203e-06,3.6340372776770016e-23
zero,138.00540378437918,2.9807142418179986e-14,1.4967758524609243e-06,1.8477321243000065e-06,3.344507976760931e-06,3.6340372776770016e-23
zero,138.00778150087817,2.9665733047430937e-14,1.5003389954938939e-06,1.8521307347096204e-06,3.3524697302035143e-06,3.6340372776770016e-23
zero,138.0101590360262,2.952500525184848e-14,1.5039103480154249e-06,1.8565394795262763e-06,3.360449827541701e-06,3.6340372776770016e-23
zero,138.01253638899897,2.938495574479224e-14,1.5074899270275196e-06,1.8609583797385178e-06,3.3684483067660374e-06,3.6340372776770016e-23
zero,138.01491355896852,2.9245581255468757e-14,1.511077749553883e-06,1.8653874563616805e-06,3.3764652059155635e-06,3.6340372776770016e-23
zero,138.01729054510326,2.9106878528859207e-14,1.5146738326397424e-06,1.8698267304376683e-06,3.3845005630774107e-06,3.6340372776770016e-23
zero,138.01966734656799,2.896884432564077e-14,1.5182781933518362e-06,1.8742762230349404e-06,3.3925544163867766e-06,3.6340372776770016e-23
zero,138.0220439625238,2.883147542211013e-14,1.521890848778354e-06,1.8787359552484369e-06,3.400626804026791e-06,3.6340372776770016e-23
zero,138.0244203921282,2.869476861010896e-14,1.5255118160288437e-06,1.883205948199464e-06,3.4087177642283077e-06,3.6340372776770016e-23
zero,138.02679663453492,2.8558720696951337e-14,1.5291411122340625e-06,1.8876862230355106e-06,3.416827335269573e-06,3.6340372776770016e-23
zero,138.02917268889408,2.842332850534182e-14,1.5327787545460942e-06,1.8921768009303924e-06,3.4249555554764866e-06,3.6340372776770016e-23
zero,138.03154855435199,2.8288588873313356e-14,1.5364247601379449e-06,1.8966777030837532e-06,3.433102463221698e-06,3.6340372776770016e-23
zero,138.03392423005133,2.815449865413956e-14,1.5400791462038273e-06,1.901188950721416e-06,3.4412680969252436e-06,3.6340372776770016e-23
zero,138.03629971513098,2.8021054716271676e-14,1.5437419299587976e-06,1.9057105650949347e-06,3.4494524950537323e-06,3.6340372776770016e-23
zero,138.0386750087261,2.788825394325974e-14,1.5474131286388246e-06,1.9102425674816787e-06,3.4576556961205037e-06,3.6340372776770016e-23
zero,138.04105010996807,2.7756093233682123e-14,1.5510927595006398e-06,1.914784979184649e-06,3.465877738685289e-06,3.6340372776770016e-23
zero,138.04342501798445,2.762456950107379e-14,1.5547808398216283e-06,1.9193378215323427e-06,3.474118661353971e-06,3.6340372776770016e-23
zero,138.04579973189908,2.7493679673848612e-14,1.558477386899899e-06,1.9239011158788393e-06,3.4823785027787384e-06,3.6340372776770016e-23
zero,138.04817425083195,2.736342069523471e-14,1.5621824180539986e-06,1.92847488360345e-06,3.4906573016574482e-06,3.6340372776770016e-23
zero,138.05054857389916,2.7233789523202072e-14,1.5658959506228433e-06,1.9330591461106297e-06,3.498955096733473e-06,3.6340372776770016e-23
zero,138.05292270021312,2.7104783130382943e-14,1.5696180019658756e-06,1.937653924830174e-06,3.5072719267960495e-06,3.6340372776770016e-23
zero,138.05529662888225,2.6976398504012677e-14,1.5733485894626416e-06,1.942259241216694e-06,3.5156078306793358e-06,3.6340372776770016e-23
zero,138.05767035901113,2.6848632645853828e-14,1.577087730512852e-06,1.9468751167496965e-06,3.5239628472625485e-06,3.6340372776770016e-23
zero,138.0600438897005,2.6721482572123786e-14,1.5808354425363614e-06,1.951501572933552e-06,3.5323370154699133e-06,3.6340372776770016e-23
zero,138.06241722004717,2.659494531342881e-14,1.5845917429729602e-06,1.9561386312972436e-06,3.540730374270204e-06,3.6340372776770016e-23
zero,138.06479034914403,2.646901791469385e-14,1.5883566492823045e-06,1.9607863133942775e-06,3.549142962676582e-06,3.6340372776770016e-23
zero,138.06716327608007,2.6343697435092646e-14,1.5921301789438426e-06,1.9654446408025925e-06,3.5575748197464354e-06,3.6340372776770016e-23
zero,138.06953599994034,2.6218980947976767e-14,1.5959123494567871e-06,1.9701136351245266e-06,3.5660259845813137e-06,3.6340372776770016e-23
zero,138.0719085198059,2.609486554081387e-14,1.599703178339814e-06,1.9747933179864435e-06,3.5744964963262574e-06,3.6340372776770016e-23
zero,138.07428083475386,2.5971348315112876e-14,1.6035026831311688e-06,1.979483711038867e-06,3.582986394170036e-06,3.6340372776770016e-23
zero,138.0766529438573,2.584842638636136e-14,1.6073108813884074e-06,1.984184835956158e-06,3.5914957173445657e-06,3.6340372776770016e-23
zero,138.07902484618543,2.5726096883950016e-14,1.611127790688546e-06,1.9888967144367004e-06,3.600024505125246e-06,3.6340372776770016e-23
zero,138.08139654080327,2.5604356951118e-14,1.614953428627575e-06,1.993619368202301e-06,3.608572796829876e-06,3.6340372776770016e-23
zero,138.0837680267719,2.5483203744875116e-14,1.6187878128206952e-06,1.998352818998482e-06,3.617140631819177e-06,3.6340372776770016e-23
zero,138.0861393031484,2.5362634435938992e-14,1.622630960902101e-06,2.0030970885942135e-06,3.6257280494963146e-06,3.6340372776770016e-23
zero,138.08851036898568,2.5242646208672536e-14,1.6264828905247638e-06,2.0078521987816444e-06,3.634335089306408e-06,3.6340372776770016e-23
zero,138.09088122333264,2.512323626101299e-14,1.6303436193604845e-06,2.0126181713761673e-06,3.642961790736652e-06,3.6340372776770016e-23
zero,138.0932518652341,2.5004401804408584e-14,1.6342131650997182e-06,2.0173950282162044e-06,3.6516081933159224e-06,3.6340372776770016e-23
zero,138.09562229373074,2.488614006375258e-14,1.6380915454514903e-06,2.0221827911631015e-06,3.660274336614592e-06,3.6340372776770016e-23
zero,138.09799250785912,2.476844827732192e-14,1.6419787781431714e-06,2.026981482100852e-06,3.6689602602440236e-06,3.6340372776770016e-23
zero,138.1003625066517,2.4651323696706246e-14,1.6458748809205754e-06,2.0317911229362174e-06,3.677666003856793e-06,3.6340372776770016e-23
zero,138.10273228913675,2.4534763586748567e-14,1.649779871547687e-06,2.0366117355983877e-06,3.6863916071460748e-06,3.6340372776770016e-23
zero,138.10510185433841,2.4418765225480554e-14,1.653693767806572e-06,2.0414433420388775e-06,3.6951371098454492e-06,3.6340372776770016e-23
zero,138.1074712012766,2.4303325904058168e-14,1.6576165874972868e-06,2.0462859642314074e-06,3.7039025517286947e-06,3.6340372776770016e-23
zero,138.10984032896707,2.4188442926698983e-14,1.6615483484377417e-06,2.05113962417174e-06,3.7126879726094817e-06,3.6340372776770016e-23
