phase,chi,U_eV4,tree_ratio,loop_ratio,total_ratio,scalar_log_parameter
zero,137.76445073184627,4.826246557586512e-14,1.1762839924944314e-06,1.4520929881774466e-06,2.628376980671878e-06,3.6340372776770016e-23
zero,137.76684309716774,4.80320942497952e-14,1.1791014623911175e-06,1.4555710838647843e-06,2.634672546255902e-06,3.6340372776770016e-23
zero,137.76923534807716,4.780283349408794e-14,1.1819255455477547e-06,1.459057343455112e-06,2.6409828890028667e-06,3.6340372776770016e-23
zero,137.77162748405,4.757467795314878e-14,1.1847562565354015e-06,1.4625517849360356e-06,2.647308041471437e-06,3.6340372776770016e-23
zero,137.77401950455922,4.7347622297218897e-14,1.1875936099503693e-06,1.4660544263263335e-06,2.653648036276703e-06,3.6340372776770016e-23
zero,137.77641140907548,4.7121661222244195e-14,1.1904376204142948e-06,1.4695652856760488e-06,2.6600029060903434e-06,3.6340372776770016e-23
zero,137.77880319706696,4.6896789449752963e-14,1.1932883025741128e-06,1.4730843810664537e-06,2.6663726836405662e-06,3.6340372776770016e-23
zero,137.78119486799943,4.667300172673419e-14,1.1961456711020256e-06,1.4766117306100128e-06,2.6727574017120383e-06,3.6340372776770016e-23
zero,137.78358642133625,4.645029282550839e-14,1.1990097406955765e-06,1.4801473524504736e-06,2.6791570931460503e-06,3.6340372776770016e-23
zero,137.7859778565383,4.6228657543615085e-14,1.201880526077519e-06,1.4836912647627042e-06,2.685571790840223e-06,3.6340372776770016e-23
zero,137.78836917306396,4.600809070368741e-14,1.2047580419958503e-06,1.4872434857527368e-06,2.6920015277485873e-06,3.6340372776770016e-23
zero,137.7907603703692,4.578858715332489e-14,1.2076423032238885e-06,1.49080403365786e-06,2.698446336881749e-06,3.6340372776770016e-23
zero,137.79315144790755,4.5570141764979834e-14,1.2105333245601682e-06,1.4943729267464932e-06,2.704906251306661e-06,3.6340372776770016e-23
zero,137.79554240512994,4.53527494358365e-14,1.2134311208284456e-06,1.4979501833181897e-06,2.7113813041466353e-06,3.6340372776770016e-23
zero,137.79793324148486,4.513640508769075e-14,1.2163357068776994e-06,1.5015358217036408e-06,2.7178715285813402e-06,3.6340372776770016e-23
zero,137.80032395641828,4.492110366683036e-14,1.2192470975821333e-06,1.505129860264676e-06,2.724376957846809e-06,3.6340372776770016e-23
zero,137.80271454937363,4.4706840143921e-14,1.222165307841107e-06,1.5087323173941804e-06,2.7308976252352873e-06,3.6340372776770016e-23
zero,137.80510501979185,4.449360951388001e-14,1.2250903525792414e-06,1.5123432115162224e-06,2.737433564095464e-06,3.6340372776770016e-23
zero,137.8074953671113,4.4281406795768627e-14,1.228022246746281e-06,1.5159625610858855e-06,2.7439848078321666e-06,3.6340372776770016e-23
zero,137.8098855907678,4.407022703266944e-14,1.2309610053171614e-06,1.5195903845893514e-06,2.750551389906513e-06,3.6340372776770016e-23
zero,137.8122756901946,4.38600652915746e-14,1.2339066432919416e-06,1.523226700543815e-06,2.7571333438357566e-06,3.6340372776770016e-23
zero,137.81466566482237,4.3650916663269454e-14,1.2368591756958011e-06,1.5268715274974822e-06,2.763730703193283e-06,3.6340372776770016e-23
zero,137.8170555140792,4.3442776262214324e-14,1.239818617579074e-06,1.530524884029612e-06,2.770343501608686e-06,3.6340372776770016e-23
zero,137.81944523739054,4.3235639226434316e-14,1.242784984017178e-06,1.534186788750428e-06,2.7769717727676058e-06,3.6340372776770016e-23
zero,137.82183483417933,4.302950071740219e-14,1.245758290110645e-06,1.5378572603011572e-06,2.783615550411802e-06,3.6340372776770016e-23
zero,137.8242243038658,4.282435591992919e-14,1.2487385509850515e-06,1.5415363173539424e-06,2.7902748683389937e-06,3.6340372776770016e-23
zero,137.8266136458676,4.2620200042049045e-14,1.2517257817910469e-06,1.5452239786118797e-06,2.7969497604029263e-06,3.6340372776770016e-23
zero,137.8290028595997,4.2417028314909874e-14,1.2547199977042817e-06,1.5489202628089276e-06,2.8036402605132093e-06,3.6340372776770016e-23
zero,137.83139194447446,4.2214835992656795e-14,1.257721213925473e-06,1.552625188709989e-06,2.8103464026354623e-06,3.6340372776770016e-23
zero,137.83378089990154,4.201361835232496e-14,1.2607294456803297e-06,1.556338775110818e-06,2.817068220791148e-06,3.6340372776770016e-23
