kappa,r,hidden_metric,t,V_hat,dV_hat_dr,V_over_S
1e-6,1.15,2.08423062802103378913489589753300283776381188161652929636291,0.000000230201660918386934542305567644193730110494202440260790191785,0.000000479793378803817015314361858151010501343030398240350064361429,-0.000000217036207301063518605273446525851102092087805158088405530315,0.479793378803817015314361858151010501343030398240350064361429
1e-6,1.2,2.13137107002981070893521817554490296683468516004481229965947,0.000000220131334669893867196177144503978947659743253841118126169562,0.000000469181582551364311432128136739420005276272733907856155482848,-0.000000207541812662303074093937038465672947606196589339488242454027,0.469181582551364311432128136739420005276272733907856155482848
1e-6,1.25,2.17851151268521841762804291224756908945723442443491743939642,0.000000210707639210293302308739487357315841194954127378415858419754,0.000000459029040029201913885468646592413563680414303286394462165527,-0.000000198657067377875823371225529549559109777603555194477630592886,0.459029040029201913885468646592413563680414303286394462165527
1e-6,1.3,2.22565195593305751328310243172101609241556513020415039862779,0.000000201876375137654972204072611090988516171544128735207997620621,0.000000449306569558832870937611238320308240384259781481351380154224,-0.000000190330871761593569734415946887819826120031122435643049042377,0.449306569558832870937611238320308240384259781481351380154224
1e-6,1.35,2.27279239972469046453660872160601149889111944405996036241903,0.000000193588904920615088869817283228178414756220707096560018154162,0.000000439987410512931760005558632481459645854450591028783062200137,-0.00000018251736990912630266023547958776950201773691305577480895715,0.439987410512931760005558632481459645854450591028783062200137
1e-6,1.4,2.31993284401637050530723575224896745778887650641343351951792,0.000000185801481793092326276319915917790516089394948651219689645659,0.000000431046977339799882450994483682616907110291491043597722935304,-0.000000175175316973872572436746963318073265343579650197777868489079,0.431046977339799882450994483682616907110291491043597722935304
1e-6,1.45,2.3670732887686631369612510806201496878310223447033510257352,0.000000178474671256452951980550774878547006198505634554997741758506,0.00000042246264297952222098749835624878523598923597299929298116279,-0.000000168267533753970240592080887996737603276884316872180424145712,0.42246264297952222098749835624878523598923597299929298116279
1e-6,1.5,2.41421373394594591600001746859477480114992940146573201074866,0.000000171572850867198328744385076722580257526088783937571982873872,0.000000414213547654471379412588567365834315937942829224563202335289,-0.000000161760435087605545747590685907089773696488690498875994418468,0.414213547654471379412588567365834315937942829224563202335289
1e-6,1.55,2.46135417951597464979173314016398923842420895249749549870866,0.000000165063776432696654791813967890568881347941315823092754953368,0.000000406280429632333492860945071598594478676351946790304179948678,-0.000000155623620858426711441442397001619810715425271105743360805595,0.406280429632333492860945071598594478676351946790304179948678
1e-6,1.6,2.5084946254495061123861762116810428506591132784885602075537,0.000000158918204726997708239190698233518129944753148929498574068354,0.000000398645475071255944725529642151932641432771290908741403093615,-0.00000014982952028860284125525239666584268975302027957662559647621,0.398645475071255944725529642151932641432771290908741403093615
1e-6,1.65,2.55563507171996901846532400518202512164649793303398924398642,0.000000153109564464783466408551357235219858870119346363492076888484,0.000000391292184483239479317849670749986187606562457782140926494636,-0.000000144353081730089646676225636856622924202840720873833042062599,0.391292184483239479317849670749986187606562457782140926494636
1e-6,1.7,2.60277551830317632773800849903840105994189053704198551817472,0.000000147613668605762761278267409904229595744948111035241151975248,0.000000384205253708895058368958620526695910810451780513451290871347,-0.000000139171501422611504831038394070246297288317922004433593419274,0.384205253708895058368958620526695910810451780513451290871347
1e-6,1.75,2.64991596517707305115262894933425391968299508561313381942121,0.00000014240846216088399210442293949468504456434002773404841612346,0.000000377370467596526637609189618726951260712784461024108104070818,-0.000000134263985723078573121642864213562977195969838667591890471465,0.377370467596526637609189618726951260712784461024108104070818
1e-6,1.8,2.69705641232151463898990022258439411810181600658260042964731,0.000000137473800580427873753532756423818209756130262741835290483964,0.000000370774604831175080988303431140627804163971920502512543589374,-0.000000129611542167876910107718820509333499537390417897046179432352,0.370774604831175080988303431140627804163971920502512543589374
1e-6,1.85,2.74419685971807178486370986035844043201617946411972080264992,0.000000132791254558008293767166479468446917484488151512398681051002,0.000000364405352572868089771447020639753586898794856624355572005099,-0.000000125196795440315602902509653450897456138811103607237372229246,0.364405352572868089771447020639753586898794856624355572005099
